Timestamp,Title,Date,Time,City,Venue,Category,Cost,TicketUrl,Email,SubmitterName,Notes,Status
2026-08-12 12:00:00,Fireside Thursdays w/ DJ JoJo,2019-11-14,10p-2:10a,Anchorage,Koot’s,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Music at One: Fall 2019,2019-11-14,1p-2p,Anchorage,UAF Charles Davis Concert Hall (Fairbanks),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Under 21 Open Mic -West,2019-11-14,5:30p-7:30p,Anchorage,Middle Way Café,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Thursdays with Will H. Johnson,2019-11-14,6p-9p,Anchorage,Tequila 61˚,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Live Jazz,2019-11-14,7:30p-10:30p,Anchorage,The Narrows Bar (Juneau),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Open Mic Night,2019-11-14,7p-10p,Anchorage,Alleyway Grille,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Cousin Curtiss & Harrison B,2019-11-14,7p-10p,Anchorage,The Creek Street Cabaret (Ketchikan),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Holiday Karaoke Competition,2019-11-14,7p-10p,Anchorage,Koot's,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,AK Acoustic Projekt,2019-11-14,7p-10p,Anchorage,Tailgaters Sports Bar & Grill (Wasilla),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Holiday Karaoke Competition,2019-11-14,7p-10p,Anchorage,Koots,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Open Mic Night w/ TLoop,2019-11-14,7p-11p,Anchorage,Aviator Hotel,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Ruploops: The Human Radio,2019-11-14,7p-9:30p,Anchorage,Gerald C. Wilson Auditorium (Kodiak),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,The Rocky Horror Show,2019-11-14,7p-9p,Anchorage,Mad Myrna’s,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Cosplay Dance,2019-11-14,7p-9p,Anchorage,UAA Student Union Den,dance,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,The Block Mic Drop,2019-11-14,7p-9p,Anchorage,The Writer’s Block Bookstore & Café,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Joe Ransdell-Green,2019-11-14,8p-10p,Anchorage,UAF Pub,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Superfrequency,2019-11-14,8p-12a,Anchorage,Humpy’s,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,UAA Dance Performance,2019-11-14,8p-9:30p,Anchorage,UAA Fine Arts Building,dance,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,DJ Covy,2019-11-14,9p-12a,Anchorage,Mad Myrna’s,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Foot & Friends,2019-11-14,9p-12a,Anchorage,Van’s Dive Bar,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Becky Kotter,2019-11-14,9p-1a,Anchorage,Long Branch Saloon,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,DJ BeeOne,2019-11-15,10:30p-2:30a,Anchorage,Koot’s,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Past Our Prime7p,2019-11-15,10p,Anchorage,Matanuska Brewing Company Eagle River,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,DJ Covy,2019-11-15,10p-2:30a,Anchorage,The Avenue Bar,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Hwy9,2019-11-15,10p-2a,Anchorage,The Carousel Lounge,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Onsie Party with DJ Fan Service,2019-11-15,10p-2a,Anchorage,Williwaw Social,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Onsie Party with DJ Fan Service,2019-11-15,10p-2a,Anchorage,Williwaw,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Salsa w/ Back 2 Basics Dance Company6p,2019-11-15,11p,Anchorage,Best Western Golden Lion Hotel,dance,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Kimball Theater Pipe Organ Concert w/ Jonas Nordwall,2019-11-15,12p-1p,Anchorage,Alaska State Office Building (Juneau),theatre,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Athabascan Fiddle Festival,2019-11-15,12p-6p,Anchorage,Chief David Salmon Tribal Hall (Fairbanks),festival,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Polar Nights: Friday After Hours w/ Kat Moore7:,2019-11-15,30p-8:30p,Anchorage,Anchorage Museum,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Okaidja Afronso Live in concert6:,2019-11-15,30p-9p,Anchorage,Zudy’s Café (Seward),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,John Shewfelt10p,2019-11-15,3a,Anchorage,Arctic Fox (Fairbanks),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,UAA Student Recitals,2019-11-15,3p-4p,Anchorage,UAA Fine Arts Building,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Jack and Jill Competition and Social Dance,2019-11-15,6p-10p,Anchorage,Ballroom Dance Club of Fairbanks,dance,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,BBQ Scholarship Fundraiser with Blackwater Railroad Company,2019-11-15,6p-11p,Anchorage,Viking Hall,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,"Acoustic Steak Night w/ Uncle Jim, The East-Side Balladeer",2019-11-15,6p-9p,Anchorage,American Legion Spenard Post 28,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,FCA presents: Whose Live Anyway?,2019-11-15,7:30p-10:30p,Anchorage,Hering Auditorium (Fairbanks),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Danger Money Band,2019-11-15,7:30p-11:30p,Anchorage,VFW Post 9785 (Eagle River),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Organ Concert with Jonas Nordwall,2019-11-15,7:30p-8:30p,Anchorage,Holy Trinity Episcopal Church (Juneau),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Cousin Curtiss & Harrison B,2019-11-15,7p-10p,Anchorage,Williwaw Social,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Cousin Curtiss & Harrison B,2019-11-15,7p-10p,Anchorage,Williwaw,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Marlowe,2019-11-15,7p-8p,Anchorage,Matanuska Brewing Downtown,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Warren Miller’s ‘Timeless’,2019-11-15,7p-9p,Anchorage,Creekbend Company (Hope),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,MatSu OnStage presents Pamyua,2019-11-15,7p-9p,Anchorage,Glenn Massay Theater (Palmer),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,The Rocky Horror Show,2019-11-15,7p-9p,Anchorage,Mad Myrna’s,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Denali,2019-11-15,7p-9p,Anchorage,Whale’s Tail,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Kyle Harrington Live,2019-11-15,7p-9p,Anchorage,Zip Kombucha,music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Viva Las Anchorage: Pulse Dance Co's Burlesque Extravaganza,2019-11-15,8:30p-10:30p,Anchorage,Koot’s,dance,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
2026-08-12 12:00:00,Open Mic Night6p,2019-11-15,8p,Anchorage,Veronica’s Café (Kenai),music,,,system@akconcerts.com,AK Concerts Auto Import,Master Event Database,Approved
