id,date,city,venue,category,title,time,ticketUrl,cost
"1674","2024-04-16","Anchorage","Anchorage Senior Activity Center","theatre","Theatre at the Senior Activity Center","12p-1:30p","",""
"1675","2024-04-16","Anchorage","Organic Oasis","music","Irish Music and Dancing","6p-8p","",""
"1676","2024-04-16","Anchorage","Alaska Center for the Performing Arts","music","Disney's Aladdin","7:30p-10p","",""
"1677","2024-04-16","Anchorage","Pink Cadillac","dance","West Coast Fusion Night: Dance Lessons & Music","8p-12a","",""
"1678","2024-04-16","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","8p-2a","",""
"1679","2024-04-17","Anchorage","Alaska Zoo","community","Community Storytime","10:30a-11a","",""
"1680","2024-04-17","Anchorage","Pioneer Bar","music","The Eternal Cowboys","10p-12a","",""
"1681","2024-04-17","Anchorage","Koot’s","music","Koots Karaoke","10p-2a","",""
"1682","2024-04-17","Anchorage","Matanuska Brewing Company","music","Jared Woods & David Nathanson Live","6p-9p","",""
"1683","2024-04-17","Anchorage","907 Alehouse","music","Tyrone Palmer & Friends","7p-10p","",""
"1684","2024-04-17","Anchorage","Koot’s","music","Country Night with DJ Lefty","7p-12a","",""
"1685","2024-04-17","Anchorage","Pink Cadillac","dance","Line Dance Night","7p-1a","",""
"1686","2024-04-17","Anchorage","Lil Babes Cocktail Lounge","music","Open Mic","8p-12a","",""
"1687","2024-04-17","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","8p-2a","",""
"1688","2024-04-17","Anchorage","Van’s Dive Bar","music","KARAOKE w/ Uswi","9p-12a","",""
"1689","2024-04-17","Eagle River","Schwabenhof","music","Open Mic","7:30p-11p","",""
"1690","2024-04-17","Eagle River","Alaskan Hotel and Bar","music","Karaoke","8p-11p","",""
"1691","2024-04-17","Eagle River","Four Corner’s Lounge","music","Karaoke","8p-12a","",""
"1692","2024-04-17","Eagle River","Fairview Inn","music","Open Mic with Larry Z","9p-1a","",""
"1693","2024-04-17","Eagle River","Yukon Bar","music","Karaoke","9p-2a","",""
"1694","2024-04-18","Anchorage","Broken Blender","music","Country Music Night w/ Alaskan Artists","6p-10p","",""
"1695","2024-04-18","Anchorage","The Blue Fox","music","The 7 Duo","7p-10p","",""
"1696","2024-04-18","Anchorage","Koot's","music","Shaun Parcarro","7p-10p","",""
"1697","2024-04-18","Anchorage","Bear Tooth Theatrepub","music","Parlor in the Round w/ Alex Lahey, Emily Anderson & 3pitome","7p-9p","",""
"1698","2024-04-18","Anchorage","Williwaw Social","music","Sultry in the Speakeasy: Grace C. Elliot","7p-9p","",""
"1699","2024-04-18","Anchorage","Flattop Pizza & Pool","music","Karaoke w/ Big Dream Entertainment","8p-12a","",""
"1700","2024-04-18","Anchorage","Floaters","music","Karaoke","8p-12a","",""
"1701","2024-04-18","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","8p-2a","",""
"1702","2024-04-18","Anchorage","Pink Cadillac","music","Country Night Thursdays w/ DJ Rico","8p-2a","",""
"1703","2024-04-18","Anchorage","Williwaw Social","dance","Space: A Speakeasy Dance Party w/ DJ Joe Brady","9:30p-12a","",""
"1704","2024-04-18","Anchorage","Organic Oasis","music","Bluegrass Jam","9p-10:30p","",""
"1705","2024-04-18","Anchorage","Van’s Dive Bar","music","Johnny Prizm","9p-12a","",""
"1706","2024-04-18","Eagle River","International Hotel & Bar","music","Karaoke","10p-2a","",""
"1707","2024-04-18","Eagle River","Mykel’s Restaurant","music","Live Music by Local Musicians","5p-9p","",""
"1708","2024-04-18","Eagle River","Palmer Alehouse","music","Matt Hopper Live","6p-9p","",""
"1709","2024-04-18","Eagle River","Charles Davis Concert Hall","music","Northern Lights String Orchestra","7:30p-9p","",""
"1710","2024-04-18","Eagle River","Tailgater’s Sport’s Bar & Grill","music","The AKoustic Project","7p-10p","",""
"1711","2024-04-18","Eagle River","Garcia’s Cantina & Café","music","Will Johnson","7p-11p","",""
"1712","2024-04-18","Eagle River","Klondike Mike’s & the Main Street Grill","music","Karaoke w/ Sadie","7p-12a","",""
"1713","2024-04-18","Eagle River","Pakalolo Tasting Room & Coffee Shop","comedy","420 Fest w/ Live Music & Stand Up Comedy","7p-9p","",""
"1714","2024-04-18","Eagle River","The Pub","music","Karaoke Thursdays","8:30p-11p","",""
"1715","2024-04-18","Eagle River","Alaskan Hotel and Bar","music","Open Mic","8p-11p","",""
"1716","2024-04-18","Eagle River","The Crystal Saloon","music","Open Mic Thursdays","8p-11p","",""
"1717","2024-04-18","Eagle River","4 Royle Parkers","music","Open Mic w/ Cody Kniceley","8p-12a","",""
"1718","2024-04-18","Eagle River","Alibi Bar & Café","music","Karaoke Night","9:15p-12:15a","",""
"1719","2024-04-18","Eagle River","Yukon Bar","music","Open Mic w/ Chris Crain","9p-12a","",""
"1720","2024-04-19","Anchorage","Sweet Cheeks Cabaret: Dirty Deeds","music","A Murder Mystery Burlesque Show","","",""
"1721","2024-04-19","Anchorage","Williwaw Social","music","House Party w/ Lloyds Noize","10p-1a","",""
"1722","2024-04-19","Anchorage","Al’s Alaskan Inn","music","Reggaeton Night w/ DJ Jose","10p-2a","",""
"1723","2024-04-19","Anchorage","Koot’s","music","Velvet La La","10p-2a","",""
"1724","2024-04-19","Anchorage","Organic Oasis","music","Tucker Tunes","5p-7:30p","",""
"1725","2024-04-19","Anchorage","O’Malley’s on the Green","music","Glacier Hoppers Band","6:30p-9:30p","",""
"1726","2024-04-19","Anchorage","Rage City Vintage","music","Spenard Song Circle w/ Emma Hill, Stephen Hendricks, & Mr. Yambao","6p-9p","",""
"1727","2024-04-19","Anchorage","The Nave","music","Moving Through the Boreal Forest","7:30p-9p","",""
"1728","2024-04-19","Anchorage","UAA Recital Hall","theatre","UAA Opera Ensemble & University Singers: Candide","7:30p-9p","",""
"1729","2024-04-19","Anchorage","Williwaw Social","music","R&B Live! It's A Vibe","7p-10p","",""
"1730","2024-04-19","Anchorage","The Fraternal Order of Eagles Aerie 4207","music","Karaoke Friday at the Eagles!","7p-12a","",""
"1731","2024-04-19","Anchorage","Williwaw Social","music","Speakeasy Sessions: Husse, Zane Penny, Carino","7p-9p","",""
"1732","2024-04-19","Anchorage","Anchorage Moose Lodge","music","Karaoke Night w/ DJ Lefty","8p-11:30p","",""
"1733","2024-04-19","Anchorage","Billiard Palace","music","Leo Ash Blues Band","8p-12a","",""
"1734","2024-04-19","Anchorage","Floaters","music","DJ Poe","8p-12a","",""
"1735","2024-04-19","Anchorage","Koot's","music","2nd Annual Flow Party w/ Brosswurst, Dig Sista, Pokerchild, & Blacksmoke","8p-2a","",""
"1736","2024-04-19","Anchorage","Pink Cadillac","music","Schaefer Mueller and The Neon Highway Debut Concert w/ DJ Rico closing","8p-2a","",""
"1737","2024-04-19","Anchorage","Broken Blender","music","Sweet Cheeks Cabaret: Dirty Deeds - A Murder Mystery Burlesque Show","8p-9:30p","",""
"1738","2024-04-19","Anchorage","Humpy’s","music","The Red Flags","9:30p-1:30a","",""
